p cnf 65 257
1 62 0
63 64 0
65 -11 -12 0
-11 46 33 0
-11 45 34 0
-11 45 31 0
-15 45 33 0
4 11 -59
-40 -56 -10 0
-11 45 33 0
-25 -55 -20 0
1 -6 53 0
21 -44 27 0
-22 1 18 0
4 -38 55 0
-45 -8 54 0
23 -55 -45 0
-52 -13 -42 0
25 -47 -41 0
55 29 -42 0
51 48 -6 0
23 -13 -17 0
-20 -32 -17 0
47 16 -15 0
22 -47 18 0
29 -23 -50 0
-44 40 52 0
16 50 -4 0
-60 42 -53 0
11 -36 -8 0
34 -46 53 0
-41 53 19 0
48 50 -21 0
-22 -15 -49 0
-18 -1 -16 0
26 31 -16 0
44 -17 -39 0
-55 -55 -44 0
20 -52 39 0
26 33 16 0
12 17 53 0
59 59 4 0
-54 -21 -55 0
23 13 35 0
-57 -30 -7 0
-29 33 -40 0
8 -8 -28 0
-57 50 -10 0
39 54 -56 0
2 53 -32 0
10 -8 -20 0
5 42 -14 0
-13 -7 22 0
44 -11 59 0
-28 43 -31 0
27 36 40 0
10 -39 11 0
-57 59 -27 0
38 36 24 0
-40 -30 -7 0
6 59 36 0
46 -53 -48 0
-3 20 53 0
-24 29 33 0
44 47 52 0
17 25 44 0
-25 47 -55 0
-3 17 11 0
-43 30 45 0
18 -26 -4 0
-42 1 47 0
6 47 42 0
-45 57 25 0
-4 22 52 0
8 -9 39 0
-58 -38 -15 0
51 -18 36 0
52 -2 -45 0
-38 -46 -8 0
1 7 -10 0
38 -9 -55 0
-54 42 16 0
-38 44 18 0
12 -56 -5 0
-22 25 11 0
30 -26 25 0
-26 -39 56 0
2 -27 41 0
-34 57 -47 0
9 -45 -40 0
10 -8 20 0
3 46 27 0
-4 20 24 0
5 10 32 0
-20 -58 -12 0
-16 -53 22 0
-25 5 -44 0
4 54 -13 0
-56 -22 33 0
54 -4 -60 0
24 22 -49 0
15 14 -9 0
26 19 -30 0
27 28 -39 0
48 -25 5 0
8 -23 58 0
-25 -7 -6 0
-37 13 -34 0
-43 40 -19 0
-12 45 -2 0
14 -44 -18 0
56 24 4 0
23 56 -21 0
-52 2 -16 0
6 43 17 0
8 -45 -57 0
28 -58 14 0
-39 -49 -40 0
-12 -48 44 0
47 -50 -56 0
7 -31 -41 0
34 10 -28 0
43 43 -30 0
-32 37 11 0
29 -36 29 0
-5 -34 24 0
-26 40 -45 0
-32 -52 4 0
-50 -18 12 0
-26 -16 -49 0
60 23 -45 0
53 -4 36 0
-33 -38 -44 0
-50 60 -58 0
-7 -13 -17 0
-4 -17 34 0
53 22 -32 0
-54 6 36 0
-1 43 32 0
-18 47 49 0
51 -49 46 0
-49 39 2 0
57 -29 -57 0
-42 55 28 0
3 56 29 0
53 19 -56 0
28 10 38 0
-18 35 55 0
46 -58 -37 0
-33 -25 -14 0
1 2 34 0
-22 -29 33 0
-2 36 41 0
53 19 -20 0
-29 -22 40 0
28 6 -37 0
-10 -11 55 0
-18 -33 51 0
47 -55 -23 0
-27 -18 57 0
47 -6 34 0
-51 21 31 0
-23 2 54 0
9 -13 -37 0
29 -19 40 0
7 1 24 0
-44 -48 15 0
-20 -37 -11 0
43 -23 13 0
-19 45 8 0
12 -60 -22 0
-19 -58 -37 0
-23 -11 -11 0
42 -55 10 0
-32 5 14 0
-3 31 -4 0
39 37 4 0
-25 -8 -11 0
28 -15 -32 0
6 2 11 0
43 3 -8 0
10 30 15 0
9 -36 -37 0
-22 -60 9 0
47 36 9 0
-8 -50 -17 0
-8 21 -48 0
-59 46 14 0
16 -58 -4 0
19 -51 -60 0
24 47 23 0
12 10 11 0
21 37 -45 0
43 46 -8 0
-49 -59 -31 0
55 46 59 0
11 20 -40 0
38 -59 -22 0
60 -45 -17 0
32 48 23 0
-14 20 -31 0
-19 10 -24 0
-24 54 22 0
15 -39 -38 0
35 -6 47 0
37 -57 37 0
-31 -4 47 0
47 -2 -32 0
48 -6 -10 0
23 -24 -1 0
6 -46 -39 0
22 -19 28 0
5 40 46 0
-6 -5 -10 0
58 23 -52 0
13 19 -48 0
-53 -17 55 0
50 23 2 0
28 -12 -43 0
50 59 -33 0
-36 -55 -31 0
-52 -15 -1 0
-56 -21 -24 0
17 9 -3 0
37 1 27 0
-1 -15 -39 0
-31 -28 -11 0
37 -52 -50 0
51 27 49 0
10 -24 -32 0
14 -46 -35 0
27 21 48 0
12 -33 13 0
54 45 52 0
-31 -58 11 0
-59 1 59 0
-14 -4 -16 0
-42 -60 9 0
55 -20 -12 0
-4 2 42 0
37 44 -59 0
-32 46 -32 0
-29 -12 -38 0
10 37 34 0
30 -54 -27 0
-38 10 14 0
-29 37 -5 0
17 51 -43 0
53 43 -47 0
30 5 -9 0
-7 -44 -31 0
21 24 -58 0
32 33 11 0
17 -44 55 0
30 -47 13 0
-30 58 -42 0
-21 42 -26 0
